fold,it,train_loss,mse_optim,mse_test
0, 0, 1.136358, 1.218933, 0.002442
0, 1, 1.373218, 1.706195, 0.001391
0, 2, 1.005312, 1.292167, 0.001159
0, 3, 0.519169, 0.618149, 0.001268
0, 4, 1.167597, 1.599200, 0.001917
0, 5, 0.675196, 0.897952, 0.002579
0, 6, 0.749249, 0.811808, 0.003113
0, 7, 0.960103, 1.002264, 0.002906
0, 8, 0.383758, 0.458991, 0.002572
0, 9, 1.151428, 1.298460, 0.002226
0, 10, 0.885824, 0.891556, 0.001714
0, 11, 0.798133, 0.870390, 0.001634
0, 12, 0.606781, 0.611087, 0.001876
0, 13, 0.234388, 0.204833, 0.002444
0, 14, 0.469777, 0.431309, 0.003640
0, 15, 0.397199, 0.314994, 0.005937
0, 16, 0.588427, 0.568379, 0.010001
0, 17, 0.445842, 0.450189, 0.014878
0, 18, 0.443496, 0.381507, 0.020587
0, 19, 0.349907, 0.367093, 0.027360
0, 20, 0.271904, 0.259146, 0.029695
0, 21, 0.536563, 0.486831, 0.029923
0, 22, 0.238192, 0.213119, 0.030308
0, 23, 0.371582, 0.259127, 0.028439
0, 24, 0.355334, 0.359859, 0.025414
0, 25, 0.316285, 0.287003, 0.024324
0, 26, 0.583311, 0.502786, 0.020352
0, 27, 0.340111, 0.281305, 0.018134
0, 28, 0.485946, 0.507228, 0.017842
0, 29, 0.538681, 0.382744, 0.017675
0, 30, 0.602411, 0.472328, 0.016734
0, 31, 0.392078, 0.266792, 0.019931
0, 32, 0.365487, 0.264495, 0.028445
0, 33, 0.306625, 0.278792, 0.038209
1, 0, 1.390181, 1.021773, 0.106511
1, 1, 0.993689, 0.731511, 0.124485
1, 2, 0.585176, 0.499447, 0.142115
1, 3, 0.984429, 1.029659, 0.162207
1, 4, 0.666207, 0.691005, 0.179248
1, 5, 0.669914, 0.758695, 0.185965
1, 6, 0.592345, 0.644797, 0.185275
1, 7, 0.427417, 0.473195, 0.175700
1, 8, 0.868431, 0.685711, 0.154689
1, 9, 0.473313, 0.429481, 0.122108
1, 10, 0.333304, 0.334584, 0.091044
1, 11, 0.584574, 0.727213, 0.060848
1, 12, 0.727458, 0.700712, 0.034682
1, 13, 0.502662, 0.436838, 0.019454
1, 14, 0.708017, 0.524393, 0.009419
